id,skater_id,jam_id
1,20,9
2,20,13
3,20,28
4,20,34
5,20,38
6,23,1
7,23,13
8,23,13
9,17,3
10,22,30
11,22,35
12,19,5
13,19,5
14,21,1
15,21,3
16,27,4
17,27,10
18,27,39
19,26,1
20,26,21
21,26,28
22,24,14
23,16,14
24,16,25
25,16,30
26,16,33
27,14,15
28,4,36
29,9,12
30,9,16
31,9,20
32,9,23
33,9,31
34,9,35
35,7,38
36,10,4
37,10,12
38,10,23
39,10,25
40,10,26
41,10,26
42,12,8
43,12,8
44,12,9
45,12,16
46,3,37
47,3,41
48,6,19
49,6,30
50,6,31
51,1,24
52,5,31
53,2,6
54,2,20
55,2,27
56,2,33
57,2,38
58,2,40
59,13,4
60,13,14
61,13,31
62,13,35
