id,jam_id,pivot,skater_id,points
1,1,0,21,0
2,1,1,26,0
3,1,0,23,0
4,1,0,17,0
5,1,0,19,0
6,1,0,14,13
7,1,1,1,0
8,1,0,4,0
9,1,0,6,0
10,1,0,3,0
11,2,0,20,0
12,2,1,16,0
13,2,0,27,0
14,2,0,23,0
15,2,0,22,0
16,2,0,11,3
17,2,1,2,0
18,2,0,10,0
19,2,0,9,0
20,2,0,13,0
21,3,0,21,0
22,3,1,26,0
23,3,0,23,0
24,3,0,17,0
25,3,0,19,0
26,3,0,7,13
27,3,1,1,0
28,3,0,4,0
29,3,0,6,0
30,3,0,3,0
31,4,0,24,0
32,4,1,16,0
33,4,0,27,0
34,4,0,15,0
35,4,0,22,0
36,4,0,8,4
37,4,1,2,0
38,4,0,10,0
39,4,0,9,0
40,4,0,13,0
41,5,0,20,4
42,5,1,26,0
43,5,0,27,0
44,5,0,23,0
45,5,0,19,0
46,5,0,11,0
47,5,1,1,0
48,5,0,10,0
49,5,0,4,0
50,5,0,13,0
51,6,0,25,0
52,6,1,16,0
53,6,0,27,0
54,6,0,22,0
55,6,0,19,0
56,6,0,14,10
57,6,1,2,0
58,6,0,10,0
59,6,0,12,0
60,6,0,9,0
61,7,0,21,8
62,7,1,26,0
63,7,0,23,0
64,7,0,17,0
65,7,0,19,0
66,7,0,7,0
67,7,1,2,0
68,7,0,1,0
69,7,0,4,0
70,7,0,3,0
71,8,0,24,0
72,8,1,16,0
73,8,0,27,0
74,8,0,15,0
75,8,0,22,0
76,8,0,11,9
77,8,1,9,0
78,8,0,10,0
79,8,0,12,0
80,8,0,13,0
81,9,0,20,0
82,9,1,26,0
83,9,0,23,0
84,9,0,17,0
85,9,0,19,0
86,9,0,8,5
87,9,1,3,0
88,9,0,1,0
89,9,0,4,0
90,9,0,12,0
91,10,0,25,0
92,10,1,16,0
93,10,0,27,0
94,10,0,15,0
95,10,0,22,0
96,10,0,14,0
97,10,1,9,0
98,10,0,10,0
99,10,0,12,0
100,10,0,13,0
101,11,0,24,4
102,11,1,26,0
103,11,0,27,0
104,11,0,23,0
105,11,0,19,0
106,11,0,11,0
107,11,1,3,0
108,11,0,1,0
109,11,0,4,0
110,11,0,6,0
111,12,0,21,0
