id,name,team_id,position
1,Akers,1,blocker
2,Barrett,1,blocker
3,Blackman,1,blocker
4,Brawn Swanson,1,blocker
5,Cotten,1,jammer
6,Garton,1,blocker
7,Gypin,1,jammer
8,Klein,1,jammer
9,Leah Davidson,1,blocker
10,S.H. Long,1,blocker
11,Scald Eagle,1,jammer
12,Watson-Siriboe,1,blocker
13,Wierzbinski,1,blocker
14,Wilhelm,1,jammer
15,Bonita Apple Bomb,2,blocker
16,Brazilian Nut,2,blocker
17,Caf Fiend,2,blocker
18,D.A.R.Y.L.,2,blocker
19,Fast & Luce,2,blocker
20,Giles,2,jammer
21,Miss Tea Maven,2,jammer
22,Roxy Dallas,2,blocker
23,Sexy Slaydie,2,blocker
24,ShortStop,2,jammer
25,Space Invader,2,jammer
26,VanEssa 'V-Diva' Sites,2,blocker
27,Violet Knockout,2,blocker
